# z sigR/R sigDA/DA sigH/H nbar_P(0.2,0) nbar_P(0.14,0.6) V(h^-1Gpc^3) dN_ELG/dz/ddeg^2 dN_LGR/dz/ddeg^2 dN_QSO/dz/ddeg^2 sig_fsig0.1/fsig0.1 sig_fsig0.2/fsig0.2
0.65 0.57 0.82 1.50 2.59 6.23 2.63 309.00 832.00 47.00 3.31 1.57
0.75 0.48 0.69 1.27 3.63 9.25 3.15 2269.00 986.00 55.00 2.10 1.01
0.85 0.47 0.69 1.22 2.33 5.98 3.65 1923.00 662.00 61.00 2.12 1.01
0.95 0.49 0.73 1.22 1.45 3.88 4.10 2094.00 272.00 67.00 2.09 0.99
1.05 0.58 0.89 1.37 0.71 1.95 4.52 1441.00 51.00 72.00 2.23 1.11
1.15 0.60 0.94 1.39 0.58 1.59 4.89 1353.00 17.00 76.00 2.25 1.14
1.25 0.61 0.96 1.39 0.51 1.41 5.22 1337.00 0.00 80.00 2.25 1.16
1.35 0.92 1.50 2.02 0.22 0.61 5.50 523.00 0.00 83.00 2.90 1.73
1.45 0.98 1.59 2.13 0.20 0.53 5.75 466.00 0.00 85.00 3.06 1.87
1.55 1.16 1.90 2.52 0.15 0.40 5.97 329.00 0.00 87.00 3.53 2.27
1.65 1.76 2.88 3.80 0.09 0.22 6.15 126.00 0.00 87.00 5.10 3.61
1.75 2.88 4.64 6.30 0.05 0.12 6.30 0.00 0.00 87.00 8.91 6.81
1.85 2.92 4.71 6.39 0.05 0.12 6.43 0.00 0.00 86.00 9.25 7.07
